"","type","name","crs.type","crs.name","features.type","features.geometry","Object_ID","Provinsi","Tanggal","Kasus_Terkonfirmasi_Akumulatif","Penambahan_Harian_Kasus_Terkonf","Kasus_Sembuh_Akumulatif","Penambahan_Harian_Kasus_Sembuh","Kasus_Meninggal_Akumulatif","Penambahan_Harian_Kasus_Meningg","Kasus_Aktif_Akumulatif","CFR_Harian","RI_Harian","FID","ObjectId"
"1","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,1,"Aceh","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",1,3572
"2","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,2,"Bali","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",2,3573
"3","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,3,"Banten","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",3,3574
"4","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,4,"Kepulauan Bangka Belitung","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",4,3575
"5","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,5,"Bengkulu","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",5,3576
"6","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,6,"Daerah Istimewa Yogyakarta","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",6,3577
"7","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,7,"DKI Jakarta","2020/03/02 00:00:00+00",2,0,0,0,0,0,2,"0.00000","0.00000",7,3578
"8","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,8,"Jambi","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",8,3579
"9","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,9,"Jawa Barat","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",9,3580
"10","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,10,"Jawa Tengah","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",10,3581
"11","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,11,"Jawa Timur","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",11,3582
"12","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,12,"Kalimantan Barat","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",12,3583
"13","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,13,"Kalimantan Timur","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",13,3584
"14","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,14,"Kalimantan Tengah","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",14,3585
"15","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,15,"Kalimantan Selatan","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",15,3586
"16","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,16,"Kalimantan Utara","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",16,3587
"17","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,17,"Kepulauan Riau","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",17,3588
"18","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,18,"Nusa Tenggara Barat","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",18,3589
"19","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,19,"Sumatera Selatan","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",19,3590
"20","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,20,"Sumatera Barat","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",20,3591
"21","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,21,"Sulawesi Utara","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",21,3592
"22","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,22,"Sumatera Utara","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",22,3593
"23","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,23,"Sulawesi Tenggara","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",23,3594
"24","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,24,"Sulawesi Selatan","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",24,3595
"25","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,25,"Sulawesi Tengah","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",25,3596
"26","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,26,"Lampung","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",26,3597
"27","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,27,"Riau","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",27,3598
"28","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,28,"Maluku Utara","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",28,3599
"29","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,29,"Maluku","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",29,3600
"30","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,30,"Papua Barat","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",30,3601
"31","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,31,"Papua","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",31,3602
"32","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,32,"Sulawesi Barat","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",32,3603
"33","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,33,"Nusa Tenggara Timur","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",33,3604
"34","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,34,"Gorontalo","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",34,3605
"35","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,35,"Indonesia","2020/03/02 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",35,3606
"36","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,36,"Aceh","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",36,3607
"37","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,37,"Bali","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",37,3608
"38","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,38,"Banten","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",38,3609
"39","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,39,"Kepulauan Bangka Belitung","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",39,3610
"40","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,40,"Bengkulu","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",40,3611
"41","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,41,"Daerah Istimewa Yogyakarta","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",41,3612
"42","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,42,"DKI Jakarta","2020/03/03 00:00:00+00",2,0,0,0,0,0,2,"0.00000","0.00000",42,3613
"43","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,43,"Jambi","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",43,3614
"44","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,44,"Jawa Barat","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",44,3615
"45","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,45,"Jawa Tengah","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",45,3616
"46","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,46,"Jawa Timur","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",46,3617
"47","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,47,"Kalimantan Barat","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",47,3618
"48","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,48,"Kalimantan Timur","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",48,3619
"49","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,49,"Kalimantan Tengah","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",49,3620
"50","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,50,"Kalimantan Selatan","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",50,3621
"51","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,51,"Kalimantan Utara","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",51,3622
"52","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,52,"Kepulauan Riau","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",52,3623
"53","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,53,"Nusa Tenggara Barat","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",53,3624
"54","FeatureCollection","Statistik_Harian_per_Provinsi_COVID19_Indonesia_Rev","name","urn:ogc:def:crs:OGC:1.3:CRS84","Feature",NA,54,"Sumatera Selatan","2020/03/03 00:00:00+00",0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!",54,3625
